season,result,map,team_role,match_length,character,char_role
3,win,nepal,cp,22.0,ana,support
3,loss,dorado,attack,6.0,ana,support
3,loss,dorado,defend,4.0,torbjorn,damage
3,loss,king's row,attack,8.0,lucio,support
3,loss,king's row,defend,5.0,lucio,support
3,loss,king's row,attack,1.0,lucio,support
3,loss,king's row,defend,3.0,lucio,support
3,loss,dorado,defend,12.0,lucio,support
3,draw,hanamura,defend,9.0,ana,support
3,draw,hanamura,attack,7.0,ana,support
3,draw,hanamura,attack,2.0,lucio,support
3,win,king's row,defend,10.0,ana,support
3,win,king's row,attack,7.0,ana,support
3,win,illios,cp,13.0,lucio,support
3,draw,volskaya industries,attack,4.0,ana,support
3,draw,volskaya industries,defend,8.0,ana,support
3,draw,volskaya industries,defend,5.0,ana,support
3,draw,volskaya industries,attack,6.0,lucio,support
3,draw,volskaya industries,defend,6.0,lucio,support
3,draw,volskaya industries,attack,2.0,lucio,support
3,win,dorado,defend,6.0,mercy,support
3,win,dorado,attack,3.0,zen,support
3,win,eichenwalde,attack,8.0,lucio,support
3,win,eichenwalde,defend,12.0,ana,support
3,win,illios,cp,11.0,lucio,support
3,win,hanamura,attack,9.0,ana,support
3,loss,temple of anubis,defend,7.0,mercy,support
3,loss,temple of anubis,attack,10.0,lucio,support
3,loss,temple of anubis,defend,2.0,zen,support
3,loss,gibraltar,attack,5.0,lucio,support
3,loss,gibraltar,defend,1.0,ana,support
3,win,king's row,defend,4.0,mercy,support
3,win,king's row,attack,3.0,zen,support
3,loss,numbani,defend,5.0,mercy,support
3,loss,numbani,attack,4.0,lucio,support
3,loss,hollywood,defend,10.0,lucio,support
3,loss,hollywood,attack,10.0,lucio,support
3,loss,hollywood,defend,5.0,mercy,support
3,loss,hollywood,attack,2.0,zen,support
3,loss,nepal,cp,15.0,lucio,support
3,win,eichenwalde,defend,8.0,ana,support
3,win,eichenwalde,attack,6.0,ana,support
3,win,hollywood,defend,7.0,ana,support
3,win,hollywood,attack,5.0,ana,support
3,loss,route 66,attack,3.0,ana,support
3,loss,route 66,defend,2.0,ana,support
3,win,numbani,attack,4.0,lucio,support
3,win,numbani,defend,4.0,symmetra,damage
3,win,temple of anubis,attack,5.0,ana,support
3,win,temple of anubis,defend,5.0,symmetra,damage
3,win,temple of anubis,defend,5.0,symmetra,damage
3,win,temple of anubis,attack,5.0,lucio,support
3,loss,hanamura,defend,5.0,ana,support
3,loss,hanamura,attack,9.0,ana,support
3,win,numbani,defend,5.0,ana,support
3,win,numbani,attack,7.0,mercy,support
3,win,numbani,attack,4.0,lucio,support
3,win,numbani,defend,3.0,mercy,support
3,loss,eichenwalde,attack,7.0,mercy,support
3,loss,eichenwalde,defend,4.0,ana,support
3,draw,volskaya industries,attack,6.0,lucio,support
3,draw,volskaya industries,defend,9.0,mercy,support
3,draw,volskaya industries,attack,3.0,ana,support
3,loss,hanamura,defend,7.0,lucio,support
3,loss,hanamura,attack,5.0,zen,support
3,win,nepal,cp,22.0,lucio,support
3,win,route 66,defend,8.0,ana,support
3,win,route 66,attack,5.0,mercy,support
3,win,gibraltar,defend,9.0,mercy,support
3,win,gibraltar,attack,5.0,mercy,support
3,loss,hollywood,defend,9.0,mercy,support
3,loss,hollywood,attack,7.0,lucio,support
3,loss,volskaya industries,attack,9.0,ana,support
3,loss,volskaya industries,defend,6.0,mercy,support
3,win,king's row,attack,9.0,zen,support
3,win,king's row,defend,4.0,zen,support
3,win,illios,cp,14.0,zen,support
3,draw,numbani,defend,5.0,mercy,support
3,draw,numbani,attack,5.0,mercy,support
3,win,hanamura,defend,7.0,mercy,support
3,win,hanamura,attack,3.0,mercy,support
3,win,hanamura,defend,1.0,mercy,support
3,win,hanamura,attack,3.0,mercy,support
3,win,illios,cp,15.0,lucio,support
3,win,nepal,cp,17.0,lucio,support
3,loss,king's row,attack,8.0,lucio,support
3,loss,king's row,defend,3.0,symmetra,damage
3,loss,gibraltar,attack,4.0,mercy,support
3,loss,gibraltar,defend,2.0,mercy,support
3,loss,route 66,defend,5.0,mercy,support
3,loss,route 66,attack,5.0,ana,support
3,loss,hollywood,defend,8.0,zen,support
3,loss,hollywood,attack,9.0,zen,support
3,loss,gibraltar,attack,7.0,ana,support
3,loss,gibraltar,defend,6.0,ana,support
3,loss,temple of anubis,defend,7.0,lucio,support
3,loss,temple of anubis,attack,5.0,ana,support
3,loss,temple of anubis,defend,4.0,ana,support
3,loss,temple of anubis,attack,4.0,ana,support
3,loss,illios,cp,21.0,ana,support
3,win,hollywood,attack,10.0,ana,support
3,win,hollywood,defend,8.0,ana,support
3,win,dorado,defend,8.0,ana,support
3,win,dorado,attack,5.0,ana,support
3,loss,temple of anubis,attack,8.0,ana,support
3,loss,temple of anubis,defend,10.0,mercy,support
3,draw,eichenwalde,attack,4.0,ana,support
3,draw,eichenwalde,defend,4.0,mercy,support
3,loss,numbani,defend,8.0,mercy,support
3,loss,numbani,attack,5.0,ana,support
3,loss,numbani,attack,6.0,ana,support
3,loss,numbani,defend,6.0,ana,support
3,win,lijiang tower,cp,20.0,lucio,support
3,loss,route 66,defend,5.0,ana,support
3,loss,route 66,attack,8.0,mercy,support
3,loss,hollywood,defend,7.0,ana,support
3,loss,hollywood,attack,9.0,mercy,support
3,loss,illios,cp,20.0,lucio,support
3,draw,temple of anubis,attack,5.0,lucio,support
3,draw,temple of anubis,defend,5.0,symmetra,damage
3,win,gibraltar,attack,8.0,lucio,support
3,win,gibraltar,defend,7.0,zen,support
